Accounts,On/Off,Wine,Date,Address,Lat,Lon
Olivino,off,Petit Manseng,02/21,"905 Fulton Street, Brooklyn, NY 11238",40.6837237,-73.9671635
Olivino,off,Young Wine,02/21,"905 Fulton Street, Brooklyn, NY 11238",40.6837237,-73.9671635
Olivino,off,Foothills,02/21,"905 Fulton Street, Brooklyn, NY 11238",40.6837237,-73.9671635
Olivino,off,Shenandoah Valley Cabernet Franc,02/21,"905 Fulton Street, Brooklyn, NY 11238",40.6837237,-73.9671635
Unwined Belle View,off,Rosé,02/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
2941 Restaurant,On,Petit Manseng,02/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Dabney,on,Shenandoah Valley Cabernet Franc,02/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Lafayette Inn,on/off,Shenandoah Valley Cabernet Franc,02/21,"1222 King St, Alexandria, VA 22973",38.8058002,-77.0533901
Lafayette Inn,on/off,Chardonnay,02/21,"1222 King St, Alexandria, VA 22973",38.8058002,-77.0533901
Lafayette Inn,on/off,Eluvium,02/21,"1222 King St, Alexandria, VA 22973",38.8058002,-77.0533901
Farmers Fishers Bakers,off,Rosé,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Whole Foods - Old Town,on/off,Foothills,02/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Barrel Chest,Off,Eluvium,02/21,"4035 Electric Rd. #B, Roanoke, VA 24018",37.2235279,-79.982868
Friendly City Food Co-op,off,Foothills,02/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Young Wine,02/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
J Emerson,off,Shenandoah Valley Cabernet Franc,02/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Rio Hill Wine & Beer,off,Foothills,02/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Valley Pike Farm Market,off,Chardonnay,02/21,"3494 Lee Highway, Weyers Cave, VA 24486",38.2934427,-78.9356747
Valley Pike Farm Market,off,Shenandoah Valley Cabernet Franc,02/21,"3494 Lee Highway, Weyers Cave, VA 24486",38.2934427,-78.9356747
Fat Canary,on,Shenandoah Valley Cabernet Franc,02/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Ivy Inn,on,Chardonnay,02/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
Whole Foods - West Broad,on/off,Foothills,02/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Crystal City Wine Shop,off,Rosé,02/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Olde Virginia Gourmet and Gifts,off,Young Wine,02/21,"261 Garrisonville Rd Suite 109, Stafford Courthouse, VA 22554",38.4731717,-77.4176773
Olde Virginia Gourmet and Gifts,off,Young Wine,02/21,"261 Garrisonville Rd Suite 109, Stafford Courthouse, VA 22554",38.4731717,-77.4176773
Olde Virginia Gourmet and Gifts,off,Foothills,02/21,"261 Garrisonville Rd Suite 109, Stafford Courthouse, VA 22554",38.4731717,-77.4176773
Olde Virginia Gourmet and Gifts,off,Five Forks,02/21,"261 Garrisonville Rd Suite 109, Stafford Courthouse, VA 22554",38.4731717,-77.4176773
L'Auberge Provencale,on,Petit Manseng,02/21,"13630 Lord Fairfax Hwy, Boyce, VA 22620",39.0708783,-78.0936949
Little Red Fox,on,Five Forks,02/21,"5035 Connecticut Ave. NW, Washington, DC 20008",38.9558822,-77.0699601
Thornton River Grille,on,Petit Manseng,02/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,02/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,02/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Field & Main,on/off,Red Vine,02/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Field & Main,on/off,Rosé,02/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
La Fromagerie,on/off,Eluvium,02/21,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Arrowine,Off,Rosé,02/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Ellwood Thompson,off,Rosé,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Ellwood Thompson,off,Eluvium,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Ellwood Thompson,off,Shenandoah Valley Cabernet Franc,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Ellwood Thompson,off,Foothills,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Foods of All Nations,off,Rosé,02/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
J Emerson,off,Rosé,02/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Mona Lisa,off,Petit Manseng,02/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
NRG - Planet Wine,off,Rosé,02/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Unwined King St,off,Rosé,02/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286628,-77.091633
Vino Market,off,Rosé,02/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Wine Guild,off,Rosé,02/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Wine Warehouse,off,Young Wine,02/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Wine Warehouse,off,Shenandoah Valley Cabernet Franc,02/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Jefferson Hotel,on,Foothills,02/21,"101 W Franklin St, Richmond, VA 23220",37.5442364,-77.4454155
St. Anselm,on,Shenandoah Valley Cabernet Franc,02/21,"1250 5th St. NE, Washington, DC 20002",38.9077745,-76.9990918
Barrel Thief,on/off,Rosé,02/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Dominion Wine and Beer,on/off,Foothills,02/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Glen's Garden Market,on/off,Rosé,02/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Whole Foods - West Broad,on/off,Rosé,02/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
"Wool Factory, The",on/off,Foothills,02/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Second Bottle Wine,off,Five Forks,3/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Whole Foods - Charlottesville,on/off,Foothills,3/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Short Pump,on/off,Rosé,3/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
"Wool Factory, The",on/off,Foothills,3/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
DCanter,On,Foothills,3/21,"545 8th St. SE, Washington, DC 20003",38.8815035,-76.9953122
Vitis Fine Wine,Off,Young Wine,3/21,"1309 5th St NE #20, Washington, DC 20002",38.9085998,-76.997517
67 Liquor Shop,off,Rosé,3/21,"179 Columbus Ave, New York, NY 10023",40.7746082,-73.9805925
Barrel Thief,on/off,Rosé,3/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Caboose,on/off,Foothills,3/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Clay Restaurant,on,Rosé,3/21,"553 Manhattan Ave, Manhattan, NY 10027",40.809486,-73.9538229
Crystal City Wine Shop,off,Rosé,3/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Foothills,3/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Foods of All Nations,off,Rosé,3/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Mona Lisa,off,Foothills,3/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Norm's Beer & Wine,off,Quaker Run Chardonnay,3/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Shenandoah Valley Cabernet Franc,3/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Norm's Beer & Wine,off,Five Forks,3/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
