Accounts,On/Off,Wine,Date,Address,Lat,Lon
Whole Foods - Short Pump,on/off,Foothills,5/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
"Wool Factory, The",on/off,Foothills,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Zynodoa,on,Eluvium,5/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
Zynodoa,on,Petit Manseng,5/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
2941 Restaurant,On,Rosé,5/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Arrowine,Off,Petit Manseng,5/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Dabney,on,Shenandoah Valley Cabernet Franc,5/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Mom's Apple Pie - Occoquan,off,Young Wine,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Petit Manseng,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Rosé,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Shenandoah Valley Cabernet Franc,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Red Fox Inn,on,Shenandoah Valley Cabernet Franc,5/21,"2 E. Washington St., Middleburg, VA 20117",38.9692453,-77.7354394
Rio Hill Wine & Beer,off,Rosé,5/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Rio Hill Wine & Beer,off,Chardonnay,5/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Thornton River Grille,on,Foothills,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Chardonnay,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Rosé,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Whole Foods - Arlington,on/off,Rosé,5/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Foods of All Nations,off,Shenandoah Valley Cabernet Franc,5/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Young Wine,5/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Landini Brothers,on,Rosé,5/21,"115 King Street, Alexandria, VA 22314",38.8045307,-77.0409971
Market Street Wine Shop,off,Petit Manseng,5/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mona Lisa,off,Petit Manseng,5/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
RichWine,off,Pétillant Naturel White,5/21,"2601 Maury Street, Richmond, VA 23224",37.5095,-77.4565725
RichWine,off,Foothills,5/21,"2601 Maury Street, Richmond, VA 23224",37.5095,-77.4565725
Rio Hill Wine & Beer,off,Rosé,5/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Saison,On,Foothills,5/21,"23 W Marshall St. Suite A, Richmond, VA 23220",37.546819,-77.4420934
Second Bottle Wine,off,Foothills,5/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Unwined - Belle View,off,Rosé,5/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Whole Foods - Pentagon City,on/off,Rosé,5/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8627722,-77.0549476
Wine Warehouse,off,Petit Manseng,5/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Glen's Garden Market,on/off,Rosé,5/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
NRG - Planet Wine,off,Young Wine,5/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Reveler's Hour,on,Petit Manseng,5/21,"1775 Columbia Road NW, Washington, DC 20009",38.9235097,-77.0420765
Whole Foods - Boro Tysons,on/off,Foothills,5/21,"1635 Boro Place, McLean, VA 22102",38.9245013,-77.233061
Whole Foods - Florida Ave,on/off,Rosé,5/21,"967 Florida Ave. NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Old Town,on/off,Rosé,5/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Fat Canary,on,Young Wine,5/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Feast,on/off,Rosé,5/21,"416 W Main St Suite H, Charlottesville, VA 22902",38.0304142,-78.4872613
Friendly City Food Co-op,off,Pétillant Naturel White,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Rosé,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Newtown Baking,on/off,Rosé,5/21,"960 W Beverlely Street, Staunton, VA 24400",38.1498989,-79.0827541
Perch,on,Petit Manseng,5/21,"2918 W. Broad Street, Richmond, VA 23230",37.5640539,-77.4719183
Press 626,on,Pétillant Naturel White,5/21,"626 West Olney Rd., Norfolk, VA 23507",36.8605378,-76.2996588
Second Bottle Wine,off,Pétillant Naturel White,5/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Westside Produce & Provisions,off,Eluvium,5/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Whole Foods - Charlottesville,on/off,Rosé,5/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Charlottesville,on/off,Foothills,5/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
"Wool Factory, The",on/off,Foothills,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,5/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Capital Ale House - Fairfax,On,Foothills,5/21,"4069 Chain Bridge Rd, Fairfax, VA 22030",38.8442986,-77.3073582
Dabney,on,Shenandoah Valley Cabernet Franc,5/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Norm's Beer & Wine,off,Rosé,5/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Organic Butcher of McLean,off,Rosé,5/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Red Hen-DC,on,Rosé,5/21,"1822 1st St. NW, Washington, DC 20001",38.9149738,-77.0124095
Radicle Wine,Off,Young Wine,5/21,"293 Greene Ave, Brooklyn, NY 11238",40.6874915,-73.9601204
Caboose,on/off,Chardonnay,5/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Foods of All Nations,off,Rosé,5/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Hamilton's,on,Shenandoah Valley Cabernet Franc,5/21,"101 W Main St, Charlottesville, VA 22902",38.030928,-78.4815455
Ivy Roadhouse,on,Rosé,5/21,"4300 Three Notched Road, Charlottesville, VA 22901",38.062296,-78.6484858
Jefferson Hotel,on,Foothills,5/21,"101 W Franklin St, Richmond, VA 23220",37.5442364,-77.4454155
Libbie Market,off,Rosé,5/21,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Market Street Wine Shop,off,Rosé,5/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Eluvium,5/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Tail Up Goat,on,Petit Manseng,5/21,"1827 Adams Mill Rd. NW, Washington, DC 20009",38.923447,-77.043176
Unwined - King St,off,Shenandoah Valley Cabernet Franc,5/21,"3690 King St., Alexandria, VA 22302",38.8296628,-77.0921948
Whole Foods - Arlington,on/off,Rosé,5/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Foggy Bottom,on/off,Rosé,5/21,"2201 I Street NW, Washington, DC 20037",38.9010776,-77.0490824
Glen's Garden Market,on/off,Rosé,5/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Frankly Wines,off,Rosé,5/21,"66 West Broadway, New York, NY 10007",40.7146846,-74.0101186
Whole Foods - Ashburn,on/off,Foothills,5/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Crystal Spring Grocery,Off,Chardonnay,5/21,"2205 Crystal Spring Ave SW, Roanoke, VA 24014",37.2485824,-79.9468989
Fat Canary,on,Rosé,5/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Foothills,5/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Shenandoah Valley Cabernet Franc,5/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Friendly City Food Co-op,off,Foothills,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
"Green Room, The",on,Young Wine,5/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
"Green Room, The",on,Pétillant Naturel White,5/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
J Emerson,off,Foothills,5/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Local Chop & Grill House,on,Rosé,5/21,"56 W Gay St #107, Harrisonburg, VA 22802",38.453885,-78.8685635
Southern Crescent Galley and Bar,on,Foothills,5/21,"814 Hinton Ave., Charlottesville, VA 22902",38.0247033,-78.4758826
Valley Pike Farm Market,off,Foothills,5/21,"3494 Lee Highway, Weyers Cave, VA 24486",38.2934427,-78.9356747
Valley Pike Farm Market,off,Rosé,5/21,"3494 Lee Highway, Weyers Cave, VA 24486",38.2934427,-78.9356747
Whole Foods - Charlottesville,on/off,Rosé,5/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Short Pump,on/off,Rosé,5/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - West Broad,on/off,Foothills,5/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
"Wool Factory, The",on/off,Rosé,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
"Wool Factory, The",on/off,Foothills,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,5/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
City Vino,Off,Chardonnay,5/21,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
City Vino,Off,Eluvium,5/21,"810 Caroline St Ste 101, Fredericksburg, VA 22407",38.3020808,-77.4587685
Duplex Diner,on,Rosé,5/21,"2004 18th St, NW, Washington, DC 20009",38.9172194,-77.0418854
Field & Main,on/off,Rosé,5/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Magnolia's at the Mill,on,Rosé,5/21,"198 North 21st Street, Purcelville, VA 20132",39.1383297,-77.7156535
Organic Butcher of McLean,off,Shenandoah Valley Cabernet Franc,5/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Red Fox Inn,on,Shenandoah Valley Cabernet Franc,5/21,"2 E. Washington St., Middleburg, VA 20117",38.9692453,-77.7354394
"Wine Outlet, The - Vienna",off,Rosé,5/21,"114 Church Street NW, Vienna, VA 22180",38.9016358,-77.2669892
Barrel Thief,on/off,Rosé,5/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Boar's Head Inn,On,Rosé,5/21,"200 Ednam Dr., Charlottesville, VA 22903",38.0487181,-78.5413993
Crystal City Wine Shop,off,Rosé,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Foothills,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Dominion Wine and Beer,on/off,Foothills,5/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Foods of All Nations,off,Eluvium,5/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Shenandoah Valley Cabernet Franc,5/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Greenwood,off,Foothills,5/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Landini Brothers,on,Rosé,5/21,"115 King Street, Alexandria, VA 22314",38.8045307,-77.0409971
Mona Lisa,off,Rosé,5/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
NRG - Planet Wine,off,Rosé,5/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Outpost,off,Rosé,5/21,"4813 Forest Hill Ave., Richmond, VA 23225",37.5211852,-77.4878087
Screwtop,on/off,Rosé,5/21,"1025 Fillmore St. N, Arlington, VA 22201",38.8859072,-77.0926894
Screwtop,on/off,Foothills,5/21,"1025 Fillmore St. N, Arlington, VA 22201",38.8859072,-77.0926894
Clay Restaurant,on,Rosé,5/21,"553 Manhattan Ave, Manhattan, NY 10027",40.809486,-73.9538229
Whole Foods - Arlington,on/off,Rosé,5/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Florida Ave,on/off,Rosé,5/21,"967 Florida Ave. NW, Washington, DC 20001",38.9196906,-77.0244673
Wine & Country,Off,Quaker Run Chardonnay,5/21,"4282 Ivy Road, Charlottesville, VA 22903",38.056209,-78.5953366
Wine & Country,Off,Rosé,5/21,"4282 Ivy Road, Charlottesville, VA 22903",38.056209,-78.5953366
Wine & Country,Off,Shenandoah Valley Cabernet Franc,5/21,"4282 Ivy Road, Charlottesville, VA 22903",38.056209,-78.5953366
Capital Ale House - Fairfax,On,Foothills,5/21,"4069 Chain Bridge Rd, Fairfax, VA 22030",38.8442986,-77.3073582
Glen's Garden Market,on/off,Rosé,5/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Mom's Apple Pie - Hill High,off,Petit Manseng,5/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Mom's Apple Pie - Hill High,off,Rosé,5/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Red Hen-DC,on,Petit Manseng,5/21,"1822 1st St. NW, Washington, DC 20001",38.9149738,-77.0124095
St. Vincent,on,Petit Manseng,5/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Swirl & Sip,Off,Shenandoah Valley Cabernet Franc,5/21,"2905 District Ave. Ste. 112, Fairfax, VA 22031",38.8733231,-77.229401
Tail Up Goat,on,Petit Manseng,5/21,"1827 Adams Mill Rd. NW, Washington, DC 20009",38.923447,-77.043176
Unwined - Belle View,off,Rosé,5/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Whole Foods - Tysons,on/off,Foothills,5/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.903442,-77.2044823
Whole Foods - Tysons,on/off,Rosé,5/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.903442,-77.2044823
Barrel Thief,on/off,Chardonnay,5/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Broken Tulip,On,Rosé,5/21,"3129 W. Cary Street, Richmond, VA 23221",37.5532674,-77.481503
Commune - Norfolk,on,Rosé,5/21,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Corks & Kegs,off,Eluvium,5/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Chardonnay,5/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Rosé,5/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Crystal Palate,off,Chardonnay,5/21,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Crystal Palate,off,Rosé,5/21,"4500 Pretty Lake Avenue, Norfolk, VA 23518",36.925493,-76.1880817
Ellwood Thompson,off,Shenandoah Valley Cabernet Franc,5/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Newtown Baking,on/off,Rosé,5/21,"960 W Beverlely Street, Staunton, VA 24400",38.1498989,-79.0827541
Press 626,on,Young Wine,5/21,"626 West Olney Rd., Norfolk, VA 23507",36.8605378,-76.2996588
Olmsted,On,Eluvium,5/21,"659 Vanderbilt Ave, Brooklyn, NY 11238",40.677064,-73.9687578
Westside Produce & Provisions,off,Foothills,5/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Pétillant Naturel White,5/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Rosé,5/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Eluvium,5/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Whole Foods - Charlottesville,on/off,Rosé,5/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Virginia Beach,on/off,Rosé,5/21,"1800 Laskin Road, Virginia Beach, VA 23454",36.8509319,-76.0281576
"Wool Factory, The",on/off,Rosé,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
"Wool Factory, The",on/off,Foothills,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,5/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Balducci's - Alexandria,off,Eluvium,5/21,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Fancy Radish,On,Rosé,5/21,"600 H St, NE, Washington, DC 20002",38.9005142,-76.9976267
Friendly City Food Co-op,off,Rosé,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Young Wine,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,5/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Locke Store,off,Rosé,5/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Mom's Apple Pie - Occoquan,off,Young Wine,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Five Forks,5/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Norm's Beer & Wine,off,Five Forks,5/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Thornton River Grille,on,Rosé,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Foothills,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Thornton River Grille,on,Eluvium,5/21,"3710 Sperryville Pike, Sperryville, VA 22740",38.6572607,-78.2266539
Unwined - Belle View,off,Quaker Run Cabernet Franc ,5/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Unwined - King St,off,Rosé,5/21,"3690 King St., Alexandria, VA 22302",38.8296628,-77.0921948
White Moose Inn,on,Chardonnay,5/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
White Moose Inn,on,Foothills,5/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
White Moose Inn,on,Eluvium,5/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
White Moose Inn,on,Petit Manseng,5/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
"Wine Outlet, The - Vienna",off,Rosé,5/21,"114 Church Street NW, Vienna, VA 22180",38.9016358,-77.2669892
Caboose,on/off,Rosé,5/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Caboose,on/off,Foothills,5/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Clifton Inn,on,Five Forks,5/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Clifton Inn,on,Foothills,5/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Clifton Inn,on,Rosé,5/21,"1296 Clifton Inn Dr, Charlottesville, VA 22911",38.0068601,-78.3970649
Crystal City Wine Shop,off,Five Forks,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Rosé,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Young Wine,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Crystal City Wine Shop,off,Petit Manseng,5/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Greenwood,off,Young Wine,5/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Greenwood,off,Rosé,5/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Ivy Inn,on,Five Forks,5/21,"2244 Old Ivy Rd., Charlottesville, VA 22903",38.045948,-78.516234
Lafayette Inn,on/off,Chardonnay,5/21,"146 Main St, Stanardsville, VA 22973",38.2973151,-78.4385435
Lafayette Inn,on/off,Eluvium,5/21,"146 Main St, Stanardsville, VA 22973",38.2973151,-78.4385435
Lafayette Inn,on/off,Shenandoah Valley Cabernet Franc,5/21,"146 Main St, Stanardsville, VA 22973",38.2973151,-78.4385435
Market Street Wine Shop,off,Five Forks,5/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Foothills,5/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mona Lisa,off,Foothills,5/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Now & Zen,on,Foothills,5/21,"202 Second St. NW, Charlottesville, VA 22902",38.032007,-78.4816545
Now & Zen,on,Young Wine,5/21,"202 Second St. NW, Charlottesville, VA 22902",38.032007,-78.4816545
NRG - Planet Wine,off,Shenandoah Valley Cabernet Franc,5/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Organic Butcher of McLean,off,Rosé,5/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Rhett's Bar and Grill,on,Foothills,5/21,"134 Wood Ridge Terrace Ste.100, Zion Crossroads, VA 22942",37.9804992,-78.2134246
Rhett's Bar and Grill,on,Five Forks,5/21,"134 Wood Ridge Terrace Ste.100, Zion Crossroads, VA 22942",37.9804992,-78.2134246
Rio Hill Wine & Beer,off,Eluvium,5/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Whole Foods - Arlington,on/off,Rosé,5/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Ashburn,on/off,Five Forks,5/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Charlottesville,on/off,Five Forks,5/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Foggy Bottom,on/off,Five Forks,5/21,"2201 I Street NW, Washington, DC 20037",38.9010776,-77.0490824
Whole Foods - H Street,on/off,Young Wine,5/21,"600-A H Street, NE, Washington, DC 20002",38.9005142,-76.9976267
Whole Foods - H Street,on/off,Five Forks,5/21,"600-A H Street, NE, Washington, DC 20002",38.9005142,-76.9976267
Whole Foods - P Street,on/off,Rosé,5/21,"1440 P Street NW, Washington, DC 20005",38.9092854,-77.0335078
Whole Foods - Pentagon City,on/off,Rosé,5/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8627722,-77.0549476
Whole Foods - Short Pump,on/off,Young Wine,5/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Five Forks,5/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Short Pump,on/off,Foothills,5/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - South Capitol Hill,on/off,Young Wine,5/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - South Capitol Hill,on/off,Rosé,5/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - West Broad,on/off,Young Wine,5/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
"Wool Factory, The",on/off,Young Wine,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
"Wool Factory, The",on/off,Rosé,5/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,07/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Dabney,on,Shenandoah Valley Cabernet Franc,07/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Field & Main,on/off,Pétillant Naturel Red,07/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Mom's Apple Pie - Occoquan,off,Eluvium,07/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Rosé,07/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Red Hen-DC,on,Rosé,07/21,"1822 1st St. NW, Washington, DC 20001",38.9149738,-77.0124095
Thornton River Grille,on,Rosé,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Petit Manseng,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Frankly Wines,off,Rosé,07/21,"66 West Broadway, Manhattan, NY 10007",40.7146846,-74.0101186
Alley Light,On,Shenandoah Valley Cabernet Franc,07/21,"108 2nd St. SW, Charlottesville, VA 22902",38.0305995,-78.482276
Barrel Thief,on/off,Foothills,07/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Corks & Kegs,off,Chardonnay,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Foods of All Nations,off,Rosé,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Chardonnay,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Petit Manseng,07/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Jefferson Hotel,on,Foothills,07/21,"101 W Franklin St, Richmond, VA 23220",37.5442364,-77.4454155
Landini Brothers,on,Rosé,07/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Market Street Wine Shop,off,Foothills,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Five Forks,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Rosé,07/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mona Lisa,off,Young Wine,07/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
RichWine,off,Pétillant Naturel Red,07/21,"2601 Maury Street, Richmond, VA 23224",37.5102868,-77.4539729
